日期,入出境總人數_小計
20200623,1371
20200624,2484
20200625,1472
20200626,1952
20200627,1758
20200628,2112
20200629,1679
20200630,2186
20200702,3208
20200703,3910
20200704,2149
20200705,3868
20200706,2471
20200707,2470
20200708,3216
20200709,2804
20200710,3514
20200711,1992
20200712,3762
20200713,2259
20200714,2076
20200715,3329
20200716,2867
20200717,3404
20200718,1583
20200719,3337
20200720,3079
20200721,2596
20200722,2839
20200723,3019
20200724,2551
20200725,1194
20200726,3566
20200727,2319
20200728,2493
20200729,2699
20200730,2686
20200731,3572
20200802,4230
20200803,2762
20200804,2613
20200805,4351
20200806,3693
20200807,4348
20200808,1081
20200809,4447
20200810,2777
20200811,2076
20200812,3853
20200813,3810
20200814,4682
20200815,1056
20200816,4891
20200817,3085
20200818,1942
20200819,4276
20200820,3992
20200821,3893
20200822,1194
20200823,4421
20200824,2502
20200825,1895
20200826,4402
20200827,3597
20200828,4336
20200829,1533
20200830,4666
20200831,2873
20200902,3832
20200903,3228
20200904,4710
20200905,1200
20200906,4327
20200907,2788
20200908,2533
20200909,4619
20200910,4004
20200911,4360
20200912,1290
20200913,4251
20200914,3165
20200915,3015
20200916,3906
20200917,3434
20200918,4478
20200919,1428
20200920,3853
20200921,2786
20200922,2218
20200923,3575
20200924,3222
20200925,4406
20200926,1614
20200927,3728
20200928,2532
20200929,2161
20200930,4612
20201002,3295
20201003,1169
20201004,3620
20201005,2683
20201006,2132
20201007,3983
20201008,4128
20201009,3418
20201010,1791
20201011,4918
20201012,1695
20201013,1556
20201014,3309
20201015,3049
20201016,3925
20201017,1844
20201018,3538
20201019,2336
20201020,1879
20201021,3158
20201022,2863
20201023,3786
20201024,1293
20201025,3443
20201026,1854
20201027,1915
20201028,3373
20201029,2500
20201030,4004
20201031,1443
20201102,2398
20201103,1773
20201104,3783
20201105,2735
20201106,3502
20201107,1536
20201108,3926
20201109,1827
20201110,2082
20201111,3317
20201112,2360
20201113,3922
20201114,1799
20201115,4381
20201116,2435
20201117,1733
20201118,3805
20201119,2624
20201120,3699
20201121,1662
20201122,3630
20201123,2119
20201124,2046
20201125,4105
20201126,3050
20201127,4855
20201128,2706
20201129,5746
20201130,2900
20201202,3214
20201203,2315
20201204,4150
20201205,1751
20201206,3903
20201207,1966
20201208,2125
20201209,3215
20201210,2952
20201211,4065
20201212,2302
20201213,3792
20201214,2399
20201215,2181
20201216,3366
20201217,2697
20201218,3441
20201219,1680
20201220,4092
20201221,1737
20201222,1733
20201223,3372
20201224,2191
20201225,2882
20201226,1386
20201227,3116
20201228,1844
20201229,1938
20201230,3839
20201231,2487
