日期,入出境總人數_小計
20160331,150046
20160401,171441
20160402,152662
20160403,142592
20160404,129329
20160405,146038
20160406,143497
20160407,129256
20160408,132663
20160409,139066
20160410,154269
20160411,136182
20160412,128656
20160413,135227
20160414,130572
20160415,147182
20160416,145129
20160417,149802
20160418,139866
20160419,130749
20160420,146353
20160421,136438
20160422,151355
20160423,145109
20160424,152936
20160425,137599
20160426,127602
20160427,136851
20160428,143348
20160429,154268
20160430,144503
20160501,141497
20160502,137770
20160503,124194
20160504,124901
20160505,120948
20160506,125788
20160507,126744
20160508,139965
20160509,130886
20160510,118350
20160511,129036
20160512,130130
20160513,151994
20160514,139453
20160515,151656
20160516,137002
20160517,138849
20160518,140294
20160519,140488
20160520,152810
20160521,148741
20160522,156746
20160523,139844
20160524,128602
20160525,139114
20160526,135731
20160527,148219
20160528,137197
20160529,146694
20160530,136936
20160531,126287
20160601,128360
20160602,119083
20160603,150314
20160604,146025
20160605,152439
20160606,123009
20160607,132825
20160608,150318
20160609,152180
20160610,144121
20160611,145998
20160612,170315
20160613,154667
20160614,136121
20160615,143149
20160616,133549
20160617,146097
20160618,148477
20160619,158353
20160620,141781
20160621,138169
20160622,140152
20160623,140045
20160624,142125
20160625,144167
20160626,165385
20160627,148662
20160628,137146
20160629,144887
20160630,151962
20160701,158805
20160702,149415
20160703,161693
20160704,142472
20160705,138216
20160706,147755
20160707,119075
20160708,81058
20160709,171672
20160710,164683
20160711,140541
20160712,137286
20160713,140978
20160714,137515
20160715,157107
20160716,151929
20160717,162885
20160718,148220
20160719,135733
20160720,145026
20160721,138252
20160722,151832
20160723,149957
20160724,163376
20160725,141018
20160726,132981
20160727,138082
20160728,136158
20160729,149278
20160730,146560
20160731,155341
20160801,138274
20160802,122140
20160803,133812
20160804,129283
20160805,146168
20160806,139678
20160807,151015
20160808,130504
20160809,124843
20160810,139447
20160811,139511
20160812,147592
20160813,144798
20160814,158621
20160815,141375
20160816,133049
20160817,133932
20160818,140608
20160819,149231
20160820,146149
20160821,165376
20160822,143222
20160823,138919
20160824,139571
20160825,146865
20160826,146745
20160827,140242
20160828,159369
20160829,129991
20160830,115645
20160831,119981
20160901,125637
20160902,129641
20160903,120284
20160904,142664
20160905,128070
20160906,119708
20160907,126559
20160908,132685
20160909,137548
20160910,139359
20160911,147774
20160912,119363
20160913,130022
20160914,113807
20160915,150349
20160916,127503
20160917,119505
20160918,172777
20160919,153645
20160920,130763
20160921,126222
20160922,128320
20160923,134843
20160924,134016
20160925,153054
20160926,132904
20160927,32412
20160928,160157
20160929,147509
20160930,141082
20161001,128601
20161002,134378
20161003,111573
20161004,109107
20161005,119624
20161006,134142
20161007,146078
20161008,137748
20161009,137290
20161010,140797
20161011,130653
20161012,130226
20161013,123701
20161014,135500
20161015,136299
20161016,149334
20161017,135782
20161018,127330
20161019,135653
20161020,137465
20161021,126137
20161022,148585
20161023,155782
20161024,131744
20161025,135079
20161026,136690
20161027,133136
20161028,149455
20161029,137653
20161030,141798
20161031,128533
20161101,123502
20161102,115723
20161103,123911
20161104,131373
20161105,126062
20161106,144388
20161107,124523
20161108,117739
20161109,122035
20161110,132431
20161111,143714
20161112,134940
20161113,149175
20161114,132328
20161115,133526
20161116,129594
20161117,136106
20161118,144893
20161119,142274
20161120,154888
20161121,135201
20161122,125113
20161123,129585
20161124,132999
20161125,143152
20161126,135482
20161127,150720
20161128,131300
20161129,125008
20161130,124146
20161201,126331
20161202,135027
20161203,129508
20161204,142482
20161205,126751
20161206,120284
20161207,120057
20161208,128606
20161209,137091
20161210,128888
20161211,147340
20161212,128337
20161213,122721
20161214,123264
20161215,133533
20161216,143237
20161217,137477
20161218,150180
20161219,132134
20161220,126155
20161221,128654
20161222,136697
20161223,146728
20161224,141089
20161225,142026
20161226,136354
20161227,137777
20161228,133920
20161229,138664
20161230,150716
20161231,129606
20170101,128447
20170102,143919
20170103,132356
20170104,118930
20170105,114672
20170106,110417
20170107,110800
20170108,127623
20170109,110698
20170110,107211
20170111,104454
20170112,112434
20170113,122086
20170114,127214
20170115,137934
20170116,126461
20170117,122421
20170118,127630
20170119,138890
20170120,154657
20170121,145893
20170122,156478
20170123,138187
20170124,148108
20170125,161872
20170126,165681
20170127,145693
20170128,131738
20170129,143898
20170130,144364
20170131,159944
20170201,171243
20170202,161541
20170203,164292
20170204,160559
20170205,177206
20170206,151641
20170207,143561
20170208,139430
20170209,140781
20170210,147799
20170211,137158
20170212,159126
20170213,141173
20170214,128462
20170215,132363
20170216,136180
20170217,136759
20170218,133608
20170219,145368
20170220,126981
20170221,123084
20170222,124076
20170223,139211
20170224,157022
20170225,155001
20170226,149909
20170227,138925
20170228,145556
20170301,136977
20170302,126802
20170303,128224
20170304,125816
20170305,144934
20170306,126237
20170307,121970
20170308,122598
20170309,131483
20170310,140798
20170311,132352
20170312,147992
20170313,132133
20170314,123446
20170315,132719
20170316,138641
20170317,147196
20170318,142737
20170319,153504
20170320,139530
20170321,138316
20170322,131891
20170323,136381
20170324,149968
20170325,141585
20170326,156174
20170327,136696
20170328,125029
20170329,132408
20170330,152121
20170331,166201
20170401,160734
20170402,151928
20170403,130014
20170404,144459
20170405,149869
20170406,128238
20170407,139994
20170408,145844
20170409,153816
20170410,143989
20170411,136703
20170412,146068
20170413,145837
20170414,162393
20170415,150625
20170416,163372
20170417,147534
20170418,147504
20170419,144612
20170420,152095
20170421,161500
20170422,156021
20170423,160981
20170424,145328
20170425,141780
20170426,146220
20170427,142970
20170428,157718
20170429,152705
20170430,149949
20170501,133937
20170502,135133
20170503,134747
20170504,129818
20170505,129912
20170506,130254
20170507,146085
20170508,122697
20170509,118598
20170510,129242
20170511,119293
20170512,145403
20170513,135995
20170514,143737
20170515,135967
20170516,131648
20170517,140990
20170518,144400
20170519,153081
20170520,148569
20170521,160488
20170522,139248
20170523,131486
20170524,139940
20170525,165366
20170526,170896
20170527,167312
20170528,160992
20170529,140961
20170530,152328
20170531,154693
20170601,144967
20170602,132457
20170603,147784
20170604,157884
20170605,139086
20170606,128688
20170607,132965
20170608,140604
20170609,150629
20170610,144329
20170611,158928
20170612,140072
20170613,131020
20170614,134689
20170615,151109
20170616,155705
20170617,147604
20170618,163109
20170619,154375
20170620,144650
20170621,142718
20170622,151337
20170623,163263
20170624,160803
20170625,174348
20170626,147898
20170627,154405
20170628,145899
20170629,145844
20170630,175522
20170701,156948
20170702,168749
20170703,146445
20170704,139838
20170705,151641
20170706,73518
20170707,152520
20170708,153403
20170709,166134
20170710,155167
20170711,138171
20170712,141463
20170713,144296
20170714,152100
20170715,156067
20170716,166022
20170717,144450
20170718,136013
20170719,143110
20170720,147555
20170721,153381
20170722,151176
20170723,162165
20170724,145300
20170725,138347
20170726,142063
20170727,148484
20170728,153915
20170729,113259
20170730,147427
20170731,152434
20170801,146053
20170802,141066
20170803,145330
20170804,154961
20170805,148777
20170806,160152
20170807,132994
20170808,139838
20170809,143904
20170810,151321
20170811,156461
20170812,155478
20170813,169281
20170814,151350
20170815,146500
20170816,152725
20170817,160121
20170818,165845
20170819,156495
20170820,170706
20170821,148859
20170822,138481
20170823,128606
20170824,155029
20170825,158425
20170826,150608
20170827,150360
20170828,146550
20170829,136757
20170830,126760
20170831,131127
20170901,135947
20170902,122096
20170903,134964
20170904,120721
20170905,115950
20170906,124696
20170907,125817
20170908,136526
20170909,129924
20170910,150825
20170911,130270
20170912,137973
20170913,104593
20170914,114532
20170915,142940
20170916,142277
20170917,136694
20170918,134546
20170919,127036
20170920,129494
20170921,130473
20170922,151618
20170923,135796
20170924,157554
20170925,140254
20170926,132160
20170927,139106
20170928,134864
20170929,145817
20170930,154932
20171001,149352
20171002,137027
20171003,153140
20171004,151623
20171005,146979
20171006,158854
20171007,162409
20171008,153074
20171009,154546
20171010,180083
20171011,147788
20171012,138409
20171013,147165
20171014,154006
20171015,154681
20171016,156153
20171017,139482
20171018,149189
20171019,150362
20171020,159785
20171021,155274
20171022,152254
20171023,149683
20171024,144543
20171025,144178
20171026,145193
20171027,159116
20171028,148099
20171029,153880
20171030,137275
20171031,134870
20171101,133444
20171102,139434
20171103,154174
20171104,142771
20171105,160176
20171106,151563
20171107,139502
20171108,140776
20171109,150352
20171110,158719
20171111,155657
20171112,169505
20171113,144969
20171114,144933
20171115,153086
20171116,151780
20171117,161509
20171118,157241
20171119,166774
20171120,149663
20171121,146219
20171122,144097
20171123,150287
20171124,159218
20171125,152520
20171126,164690
20171127,147105
20171128,141513
20171129,135686
20171130,143498
20171201,147403
20171202,143499
20171203,151267
20171204,137682
20171205,134807
20171206,131803
20171207,137317
20171208,150425
20171209,148006
20171210,157697
20171211,141757
20171212,139118
20171213,133367
20171214,143859
20171215,158643
20171216,150571
20171217,159911
20171218,145348
20171219,140930
20171220,141762
20171221,145050
20171222,156274
20171223,154194
20171224,150401
20171225,135903
20171226,145915
20171227,143844
20171228,149254
20171229,162552
20171230,158064
20171231,133360
20180101,144739
20180102,152676
20180103,132510
20180104,124727
20180105,122641
20180106,124719
20180107,130882
20180108,120671
20180109,114580
20180110,112255
20180111,114579
20180112,135133
20180113,124527
20180114,136300
20180115,129249
20180116,126411
20180117,120675
20180118,128528
20180119,141069
20180120,142630
20180121,150634
20180122,133614
20180123,137952
20180124,138067
20180125,147424
20180126,160867
20180127,154511
20180128,159720
20180129,148773
20180130,143971
20180131,141479
20180201,148388
20180202,152245
20180203,153984
20180204,159167
20180205,144810
20180206,139252
20180207,146923
20180208,149197
20180209,160606
20180210,166961
20180211,157814
20180212,148374
20180213,167273
20180214,157185
20180215,144162
20180216,148503
20180217,148876
20180218,167816
20180219,176017
20180220,190850
20180221,171870
20180222,163472
20180223,171063
20180224,169347
20180225,174287
20180226,147243
20180227,149083
20180228,151045
20180301,138640
20180302,139478
20180303,148500
20180304,156128
20180305,141693
20180306,138757
20180307,133771
20180308,142426
20180309,151143
20180310,146258
20180311,155318
20180312,142840
20180313,144334
20180314,135972
20180315,147882
20180316,157921
20180317,150717
20180318,165488
20180319,147513
20180320,151905
20180321,141725
20180322,147491
20180323,161933
20180324,154483
20180325,163797
20180326,154202
20180327,153551
20180328,150422
20180329,152154
20180330,170842
20180331,169620
20180401,177582
20180402,154486
20180403,155694
20180404,167151
20180405,156300
20180406,160034
20180407,173755
20180408,197218
20180409,170926
20180410,157104
20180411,152749
20180412,149138
20180413,155212
20180414,152251
20180415,165964
20180416,150936
20180417,157438
20180418,145260
20180419,149871
20180420,166240
20180421,169199
20180422,170653
20180423,152416
20180424,150133
20180425,142895
20180426,153141
20180427,172361
20180428,173372
20180429,152151
20180430,137911
20180501,161851
20180502,141140
20180503,133101
20180504,134101
20180505,144434
20180506,151044
20180507,133781
20180508,141609
20180509,125238
20180510,133490
20180511,146835
20180512,153005
