date,sum,in,out
20150903,119847,62230,57617
20150904,119534,58354,61180
20150905,124494,58059,66435
20150906,132130,63636,68494
20150907,123868,61288,62580
20150908,111745,55532,56213
20150909,116819,59920,56899
20150910,118710,61284,57426
20150911,125302,64129,61173
20150912,130402,69179,61223
20150913,137553,68750,68803
20150914,123489,62509,60980
20150915,118708,58864,59844
20150916,125639,63306,62333
20150917,124086,64213,59873
20150918,135255,71288,63967
20150919,137205,76494,60711
20150920,139898,77184,62714
20150921,126765,66745,60020
20150922,124096,64018,60078
20150923,130027,68070,61957
20150924,132568,68893,63675
20150925,141372,74235,67137
20150926,133326,68621,64705
20150927,119962,66398,53564
20150928,61536,25990,35546
20150929,144606,77954,66652
20150930,141722,85723,55999
20151001,136028,81814,54214
20151002,121999,65981,56018
20151003,125837,62707,63130
20151004,130148,60906,69242
20151005,118688,52501,66187
20151006,124972,49519,75453
20151007,129616,50684,78932
20151008,129854,50234,79620
20151009,136960,58046,78914
20151010,122855,63941,58914
20151011,149205,79378,69827
20151012,145107,72680,72427
20151013,131599,62651,68948
20151014,130120,62935,67185
20151015,130825,63777,67048
20151016,146285,75428,70857
20151017,139270,73016,66254
20151018,147331,76800,70531
20151019,137311,72269,65042
20151020,130814,66781,64033
20151021,136444,69772,66672
20151022,135158,67830,67328
20151023,138853,67562,71291
20151024,140509,70688,69821
20151025,148714,76006,72708
20151026,132400,65931,66469
20151027,125559,63879,61680
20151028,131193,66708,64485
20151029,126619,62919,63700
20151030,134660,70457,64203
20151031,134922,73020,61902
20151101,137798,69722,68076
20151102,122880,59354,63526
20151103,125837,59173,66664
20151104,123133,62365,60768
20151105,124971,62031,62940
20151106,135402,69958,65444
20151107,130889,67139,63750
20151108,140540,72130,68410
20151109,125878,64584,61294
20151110,124247,61139,63108
20151111,124780,61416,63364
20151112,130453,67126,63327
20151113,133599,67665,65934
20151114,136594,70187,66407
20151115,152585,76860,75725
20151116,130136,62442,67694
20151117,129030,63243,65787
20151118,132990,67568,65422
20151119,130677,65579,65098
20151120,142850,73757,69093
20151121,142343,76440,65903
20151122,146317,74351,71966
20151123,134499,65841,68658
20151124,129020,63229,65791
20151125,129717,62961,66756
20151126,127726,63127,64599
20151127,142645,73318,69327
20151128,137041,68615,68426
20151129,144958,72989,71969
20151130,128413,64502,63911
20151201,124932,63911,61021
20151202,118642,61533,57109
20151203,123415,65004,58411
20151204,128185,65597,62588
20151205,128489,66205,62284
20151206,138846,68065,70781
20151207,121938,58853,63085
20151208,120511,59619,60892
20151209,116253,56492,59761
20151210,125258,63632,61626
20151211,131150,65758,65392
20151212,134829,69501,65328
20151213,143794,71678,72116
20151214,127331,62753,64578
20151215,127454,64301,63153
20151216,122068,60072,61996
20151217,124726,62039,62687
20151218,140845,74267,66578
20151219,132535,69553,62982
20151220,143064,74642,68422
20151221,122201,63817,58384
20151222,119987,62455,57532
20151223,137099,71942,65157
20151224,128229,70785,57444
20151225,129918,71304,58614
20151226,132515,70792,61723
20151227,139309,72827,66482
20151228,122083,62054,60029
20151229,130540,66676,63864
20151230,136482,66877,69605
20151231,129827,59787,70040
20160101,122001,53924,68077
20160102,123103,57254,65849
20160103,142623,68828,73795
20160104,128328,59348,68980
20160105,108688,48419,60269
20160106,103315,45741,57574
20160107,97701,45808,51893
20160108,106992,53440,53552
20160109,105764,54591,51173
20160110,118965,55719,63246
20160111,110834,50392,60442
20160112,102606,50216,52390
20160113,104186,53331,50855
20160114,110897,59293,51604
20160115,127717,66658,61059
20160116,128214,58665,69549
20160117,137920,56991,80929
20160118,129299,56241,73058
20160119,127003,56925,70078
20160120,138979,65169,73810
20160121,137222,63241,73981
20160122,143096,68631,74465
20160123,141725,71333,70392
20160124,153681,76346,77335
20160125,148898,76499,72399
20160126,143817,75994,67823
20160127,137752,72413,65339
20160128,123220,65364,57856
20160129,146657,77156,69501
20160130,152403,81654,70749
20160131,155392,81866,73526
20160201,138443,76422,62021
20160202,130363,70333,60030
20160203,147596,78982,68614
20160204,162148,84615,77533
20160205,161584,79117,82467
20160206,168940,84165,84775
20160207,136555,64671,71884
20160208,135344,58143,77201
20160209,152319,71419,80900
20160210,164536,82317,82219
20160211,165453,86390,79063
20160212,170821,91920,78901
20160213,177424,98263,79161
20160214,181218,94795,86423
20160215,172024,90422,81602
20160216,154253,79907,74346
20160217,143315,70876,72439
20160218,136438,66978,69460
20160219,134225,66389,67836
20160220,134648,68059,66589
20160221,142693,70019,72674
20160222,125709,57259,68450
20160223,125455,55563,69892
20160224,124836,55662,69174
20160225,129615,58982,70633
20160226,140483,61965,78518
20160227,139765,64797,74968
20160228,138396,65070,73326
20160229,136345,73979,62366
20160301,133801,71741,62060
20160302,121100,64238,56862
20160303,117443,60199,57244
20160304,124022,64440,59582
20160305,124494,64650,59844
20160306,134114,65467,68647
20160307,124624,61260,63364
20160308,117827,58510,59317
20160309,115862,58771,57091
20160310,123783,63331,60452
20160311,141336,75439,65897
20160312,132096,67002,65094
20160313,142991,69831,73160
20160314,132586,62955,69631
20160315,127683,61661,66022
20160316,129318,63841,65477
20160317,135436,68939,66497
20160318,137398,69129,68269
20160319,146899,78905,67994
20160320,154597,79951,74646
20160321,136734,65378,71356
20160322,137174,70211,66963
20160323,139967,72209,67758
20160324,137793,69174,68619
20160325,155561,81186,74375
20160326,150911,78070,72841
20160327,155380,73072,82308
20160328,152263,70234,82029
20160329,138067,63866,74201
20160330,146094,68698,77396
20160331,150046,67769,82277
20160401,171441,79842,91599
20160402,152662,67073,85589
20160403,142592,64346,78246
20160404,129329,60866,68463
20160405,146038,79878,66160
20160406,143497,77377,66120
20160407,129256,67770,61486
20160408,132663,66493,66170
20160409,139066,73533,65533
20160410,154269,77336,76933
20160411,136182,68635,67547
20160412,128656,63677,64979
20160413,135227,67912,67315
20160414,130572,62907,67665
20160415,147182,73446,73736
20160416,145129,74475,70654
20160417,149802,72876,76926
20160418,139866,69693,70173
20160419,130749,65259,65490
20160420,146353,71916,74437
20160421,136438,67087,69351
20160422,151355,75919,75436
20160423,145109,72907,72202
20160424,152936,74811,78125
20160425,137599,69800,67799
20160426,127602,65772,61830
20160427,136851,73814,63037
20160428,143348,81419,61929
20160429,154268,83050,71218
20160430,144503,79554,64949
20160501,141497,79889,61608
20160502,137770,69670,68100
20160503,124194,60727,63467
20160504,124901,59880,65021
20160505,120948,54473,66475
20160506,125788,61620,64168
20160507,126744,61005,65739
20160508,139965,61171,78794
20160509,130886,55904,74982
20160510,118350,52218,66132
20160511,129036,61937,67099
20160512,130130,61990,68140
20160513,151994,77395,74599
20160514,139453,69682,69771
20160515,151656,74115,77541
20160516,137002,65703,71299
20160517,138849,66494,72355
20160518,140294,67343,72951
20160519,140488,69801,70687
20160520,152810,75469,77341
20160521,148741,75546,73195
20160522,156746,79021,77725
20160523,139844,68615,71229
20160524,128602,64414,64188
20160525,139114,71595,67519
20160526,135731,67810,67921
20160527,148219,73755,74464
20160528,137197,72770,64427
20160529,146694,74532,72162
20160530,136936,71889,65047
20160531,126287,67050,59237
20160601,128360,65425,62935
20160602,119083,58433,60650
20160603,150314,80492,69822
20160604,146025,74030,71995
20160605,152439,69432,83007
20160606,123009,55762,67247
20160607,132825,61109,71716
20160608,150318,63700,86618
20160609,152180,65381,86799
20160610,144121,65701,78420
20160611,145998,76169,69829
20160612,170315,92476,77839
20160613,154667,84712,69955
20160614,136121,71580,64541
20160615,143149,73364,69785
20160616,133549,66236,67313
20160617,146097,73717,72380
20160618,148477,75973,72504
20160619,158353,77939,80414
20160620,141781,69329,72452
20160621,138169,66211,71958
20160622,140152,66885,73267
20160623,140045,64173,75872
20160624,142125,70305,71820
20160625,144167,70916,73251
20160626,165385,78227,87158
20160627,148662,72157,76505
20160628,137146,66443,70703
20160629,144887,72884,72003
20160630,151962,74764,77198
20160701,158805,74856,83949
20160702,149415,71849,77566
20160703,161693,76448,85245
20160704,142472,66198,76274
20160705,138216,65292,72924
20160706,147755,71850,75905
20160707,119075,50967,68108
20160708,81058,39264,41794
20160709,171672,89310,82362
